#{"t_start": 1763997017.1833255, "env_id": "None"}
r,l,t
-54.0,47,277.801435
-54.0,47,278.275709
-55.0,46,278.712968
-55.0,46,279.149931
8.0,109,280.250771
-54.0,47,280.698004
-54.0,47,281.16387
-54.0,47,281.65013
-55.0,46,282.0864
-54.0,47,282.567332
8.0,109,283.641453
-55.0,46,284.104992
-54.0,47,284.589277
-54.0,47,285.071325
-54.0,47,285.555442
-54.0,47,286.023485
9.0,110,287.160299
8.0,109,288.275528
-54.0,47,288.752127
-55.0,46,289.223074
-53.0,48,289.710513
8.0,109,290.819053
9.0,110,291.965311
-54.0,47,292.464897
-54.0,47,292.954401
8.0,109,294.024792
-54.0,47,305.136456
-55.0,46,305.626213
8.0,109,306.710378
-55.0,46,307.180299
-55.0,46,307.644107
8.0,109,308.775051
-54.0,47,309.229433
-54.0,47,309.689913
8.0,109,310.899366
-54.0,47,311.371358
8.0,109,312.479889
6.0,107,313.608173
-54.0,47,314.127189
-55.0,46,314.561352
7.0,108,315.695522
-54.0,47,316.160544
6.0,107,317.235566
-54.0,47,317.74073
-54.0,47,318.205402
6.0,107,319.322709
-54.0,47,319.818716
-54.0,47,320.303943
8.0,109,321.452826
-54.0,47,321.929498
7.0,108,323.029804
8.0,109,324.194932
-54.0,47,324.665747
-54.0,47,325.143498
-54.0,47,325.626324
8.0,109,337.492404
8.0,109,338.565851
-54.0,47,339.00514
-54.0,47,339.457029
-55.0,46,339.911675
-55.0,46,340.360341
6.0,107,341.46391
6.0,107,342.526271
6.0,107,343.618335
-54.0,47,344.117584
6.0,107,345.137537
8.0,109,346.220722
-54.0,47,346.721076
7.0,108,347.79497
-55.0,46,348.272589
-54.0,47,348.744875
8.0,109,349.787849
-54.0,47,350.297857
-55.0,46,350.767774
-54.0,47,351.223107
-54.0,47,351.710822
8.0,109,352.823013
-55.0,46,353.275472
9.0,110,354.324725
9.0,110,355.373236
-55.0,46,355.883332
-55.0,46,356.340428
7.0,108,368.038969
-54.0,47,368.502727
8.0,109,369.635118
-54.0,47,370.157673
-54.0,47,370.649708
6.0,107,371.694771
-55.0,46,372.17134
-55.0,46,372.627068
8.0,109,373.671712
-54.0,47,374.142353
8.0,109,375.264043
-54.0,47,375.717865
9.0,110,376.776046
-54.0,47,377.253773
-54.0,47,377.67039
-54.0,47,378.139055
8.0,109,379.192798
-55.0,46,379.606499
-55.0,46,380.072512
-54.0,47,380.541799
9.0,110,381.647411
8.0,109,382.723441
