#{"t_start": 1767367484.0701704, "env_id": "None"}
r,l,t
-22.0,53,7.286269
-24.5,49,7.445205
-30.75,47,7.623575
-26.0,47,7.780784
-25.0,47,7.970484
-27.0,47,8.196582
-29.0,47,8.36356
-34.5,46,8.525136
160.25,163,9.077462
-23.5,47,9.251617
-30.0,47,9.432034
-24.5,47,9.603859
-26.75,47,9.767567
-26.25,47,9.925386
-24.5,46,10.066843
-18.5,51,10.239769
-25.0,48,10.416356
-23.5,48,10.567099
-23.75,49,10.785422
68.5,111,11.268821
-27.5,47,11.442109
-30.25,47,11.605473
-25.75,47,11.795942
-28.5,46,11.983541
-27.25,48,12.162215
-24.5,47,12.371574
-21.0,50,12.534965
-25.25,48,12.699617
-27.25,47,12.878578
-27.75,48,13.044202
-27.0,50,13.23755
-29.0,47,13.416839
-26.75,46,13.590168
-24.0,46,13.758078
-32.25,47,13.919297
-21.5,52,14.111178
-26.5,47,14.280139
-26.25,47,14.470066
-25.25,47,14.780657
-28.75,46,24.448355
-22.25,49,24.941767
-22.0,47,25.412458
-28.0,48,25.891267
-27.0,47,26.383638
-17.75,51,26.897242
-30.0,47,27.393524
-25.5,47,27.877339
-22.25,49,28.374313
-26.25,46,28.844716
-19.75,50,29.357794
-26.75,47,29.836035
-24.25,47,30.318816
-28.0,46,30.781768
-25.0,47,31.264471
76.5,111,32.379801
-15.75,54,32.947498
164.25,164,34.635298
65.5,105,35.713283
-27.5,46,36.180899
-23.5,47,36.679956
-20.5,50,37.195573
160.25,166,38.913306
-27.75,47,39.385651
-26.75,47,39.888359
-26.75,47,40.400702
-29.0,46,40.917209
-26.25,47,41.425329
-25.0,49,41.943295
-25.75,47,42.442918
-29.25,46,42.919743
-23.0,47,43.396867
-26.25,46,43.838013
-22.5,50,44.36883
-24.75,47,44.866149
-24.25,47,54.222446
-21.25,49,54.697794
-28.25,46,55.176653
-21.25,51,55.670613
-28.5,47,56.155572
-24.75,49,56.690128
-31.5,48,57.180868
-28.0,46,57.655201
-28.5,46,58.146039
-26.0,47,58.634455
77.25,110,59.771276
-27.0,47,60.278961
-21.25,50,60.79184
-21.0,49,61.300365
-25.0,47,61.787922
-30.25,47,62.300963
-25.75,46,62.800219
159.25,165,64.541284
