#{"t_start": 1767376709.5581658, "env_id": "None"}
r,l,t
-54.0,47,137.355103
-55.0,46,137.506218
-54.0,47,137.652371
-55.0,46,137.805753
-50.0,51,137.952145
-54.0,47,138.147262
-53.0,48,141.729783
-55.0,46,141.881499
-55.0,46,142.041978
-54.0,47,142.191647
-53.0,48,142.347007
-54.0,47,142.48983
-48.0,53,142.657644
-55.0,46,142.80271
-49.0,52,142.998275
-55.0,46,143.133445
-46.0,55,143.302433
66.0,167,143.848427
-54.0,47,143.998582
-51.0,50,144.147769
-51.0,50,144.314367
-54.0,47,144.476674
-52.0,49,144.644188
-50.0,51,144.825212
65.0,166,145.332539
-50.0,51,145.514483
-54.0,47,145.656045
-52.0,49,145.797945
-54.0,47,145.943256
-54.0,47,146.107581
-51.0,50,146.2799
-54.0,47,146.476301
-52.0,49,146.600181
4.0,105,146.949931
-48.0,53,147.116545
-55.0,46,147.248313
5.0,106,147.609128
-51.0,50,147.801583
-54.0,47,148.015145
-55.0,46,148.175311
113.0,214,152.29392
-55.0,46,152.436013
11.0,112,152.856
-53.0,48,153.023417
-55.0,46,153.192722
-51.0,50,153.337904
-54.0,47,153.499012
7.0,108,153.87299
-55.0,46,153.999156
-55.0,46,154.148506
-55.0,46,154.276307
-55.0,46,154.425749
-54.0,47,154.584132
125.0,226,155.3268
4.0,105,155.677387
6.0,107,156.020767
2.0,103,156.355871
5.0,106,156.721219
-51.0,50,156.901199
-52.0,49,157.042614
-54.0,47,157.194212
-49.0,52,157.36698
-55.0,46,157.512378
-52.0,49,157.671338
60.0,161,158.16493
-53.0,48,158.335226
-55.0,46,158.50206
-51.0,50,162.823433
65.0,166,163.353136
69.0,170,163.924189
-49.0,52,164.085868
-53.0,48,164.244541
-53.0,48,164.388728
-53.0,48,164.55462
428.0,529,166.430723
-52.0,49,166.644101
-50.0,51,166.847157
-45.0,56,167.036926
-54.0,47,167.185378
-52.0,49,167.338961
-50.0,51,167.537791
-50.0,51,167.694556
-52.0,49,167.856469
-55.0,46,168.017047
4.0,105,168.342196
-54.0,47,168.507561
-54.0,47,168.66014
-54.0,47,168.799917
-50.0,51,168.972764
-55.0,46,169.113878
-54.0,47,169.282306
-55.0,46,169.429292
277.0,378,174.069704
-45.0,56,174.236867
-54.0,47,174.407093
-55.0,46,174.542692
226.0,327,175.590129
-49.0,52,175.785949
-47.0,54,175.972496
-54.0,47,176.152058
-47.0,54,176.337862
-48.0,53,176.506797
-48.0,53,176.678723
61.0,162,177.191501
-55.0,46,177.331493
-54.0,47,177.477807
-54.0,47,177.616183
-54.0,47,177.742667
